BUKRS,BELNR,GJAHR,BUZEI,HKONT,KOSTL,WRBTR,DMBTR,WAERS,BUDAT,BLDAT,SGTXT
3000,ABC9394,2023,3,006808542,KST005,3534.86,3378.49,eur,2021-06-15,2021-04-19,Invoice payment
1000,589102,2022,3,006519088,KST007,319.61,"1,583",EUR,2021.07.06,2021.10.11,Payment received
3000,ABC7920,2021,1,006237716,KST001,3400.54,"3,705",eur,12/10/2022,2023.08.24,
5000,1070686133,2022,2,007850811,KST001,1932.64,"4,386",eur,18/06/2023,2023.02.26,Payment received
3000,393206,2022,2,004438615,KST004,NaN,"5,461",EUR,21-07-2023,26-07-2021,Wrong amount
5000,1776376854,2022,3,007915100,KST003,NaN,2097,eur,29/03/2022,20-04-2021,
1000,867594,2021,3,005432668,,4886,"5,518",EURO,24-05-2021,2022-04-03,Duplicate row
2000,512475,2022,1,009674211,KST001,4332,2495,EUR,2021-07-20,18/05/2021,Vendor invoice
1000,ABC9562,2022,3,006004014,KST004,2856.52,1071.34,EUR,06/04/2021,2022.10.24,Payment received
1000,ABC1284,2023,3,006424784,KST009,299,"8,879",EURO,2021.06.05,2023.06.14,Wrong amount
6000,1255072500,2022,1,009987787,KST002,NaN,4742.99,EUR,2021-09-21,2021.10.05,Wrong amount
2000,4323003917,2023,2,008520416,KST009,NaN,2547.66,EURO,2022.11.27,2021.07.06,
5000,9237975799,2023,2,006661928,KST004,NaN,1435.13,USD,2023.02.11,2022.10.01,Wrong amount
4000,452168,2022,1,006894249,KST002,ERROR,"2,904",EURO,20-05-2021,2022-10-15,
5000,ABC2973,2021,3,009878505,KST002,NaN,"3,821",USD,2023-04-27,2021-01-03,Payment received
1000,269478,2021,3,006356481,KST003,4739.3,476.19,USD,22-10-2022,21-01-2022,Invoice payment
6000,1083260815,2022,1,009111236,KST006,293,1186,EUR,2021-02-10,2021-07-24,Invoice payment
6000,590579,2021,1,005752818,KST001,NaN,"2,433",USD,2021-10-28,2021-04-10,Payment received
3000,3181454458,2021,2,009162019,KST009,ERROR,628.12,EUR,17-01-2023,2021.08.03,Wrong amount
1000,794985,2023,1,004130177,KST006,2483,4547,EUR,2023.09.12,2023-09-05,Vendor invoice
3000,204399,2021,1,006961926,KST002,3771,2536,EURO,08/07/2021,2023.01.05,Invoice payment
3000,145816,2023,3,009229250,KST007,ERROR,"6,780",USD,2022-01-22,2021-08-21,Payment received
1000,ABC6408,2022,3,005373685,KST002,2173,1367,eur,2021.01.05,03-05-2023,
5000,ABC6042,2021,3,005733635,KST008,1696.79,3408,EURO,24-04-2023,17-01-2021,Wrong amount
3000,544131,2022,1,006984288,KST006,3640,"9,753",EURO,25/08/2022,05/12/2022,Duplicate row
5000,9215244182,2022,1,009343607,,NaN,"3,769",eur,07/08/2022,24-06-2021,Wrong amount
1000,370818,2022,2,005821134,KST008,3754.96,4301.95,USD,03-07-2023,2021-07-22,Payment received
4000,2422326841,2023,2,005582277,KST001,ERROR,3957,eur,05-03-2021,2023-06-04,Wrong amount
1000,ABC3312,2021,2,005290771,KST009,ERROR,"3,474",eur,2021-09-08,2021.11.20,
4000,612199,2021,3,008354102,KST003,NaN,4679.51,eur,02/02/2023,2022.04.13,Invoice payment
5000,9999373251,2021,2,007856832,KST003,NaN,2544.11,EURO,14/05/2022,18/10/2022,Duplicate row
4000,ABC3708,2023,3,006234270,KST006,ERROR,"4,227",eur,2021.02.10,10-08-2022,Duplicate row
1000,1833333018,2023,2,006205008,KST005,NaN,474,USD,2022.09.22,03/07/2023,
2000,368587,2021,3,009906159,KST006,762.75,3898,eur,2022-12-17,2021-12-28,
5000,1357646542,2021,1,005274131,KST007,NaN,2122.1,eur,2023.08.22,2022-05-15,Invoice payment
3000,ABC5510,2021,2,005621851,KST005,ERROR,900.13,USD,03-04-2021,2023.08.27,
3000,1924785876,2021,2,008208508,KST006,518.54,3565,eur,07/10/2021,12-05-2022,
4000,ABC3053,2021,1,008576582,KST005,ERROR,"9,356",EURO,2021-05-09,03/09/2023,
2000,6108054736,2023,3,007351511,KST003,2512.48,2113,EURO,27/06/2022,2023-09-21,Wrong amount
3000,6522199277,2021,3,007025338,KST002,ERROR,2938,USD,2021-03-21,2021.07.19,Vendor invoice
2000,ABC5112,2021,3,009484798,KST001,NaN,"4,944",eur,14-02-2021,16/05/2022,Wrong amount
6000,1237929672,2023,1,007332691,KST002,NaN,1707,EURO,20/08/2021,14/02/2021,Wrong amount
3000,4449984184,2022,1,005195489,KST001,NaN,1735,EUR,02-09-2022,2021-11-18,Invoice payment
6000,1498847021,2023,3,008875830,KST009,1730.38,"1,666",EURO,2021.12.26,06/12/2022,Invoice payment
2000,366898,2021,3,005174365,KST005,ERROR,4987,eur,2023.06.21,2023.08.02,Duplicate row
6000,859856,2022,1,008094114,KST001,693,"1,938",eur,2023-09-11,15/04/2022,Duplicate row
6000,2755291184,2021,1,006800831,KST008,NaN,1432.55,EUR,2023-07-21,07/03/2023,Vendor invoice
3000,2033376792,2023,2,008632599,KST006,332,3776,USD,13-06-2021,2023-07-26,Duplicate row
4000,109977,2023,1,005146373,KST007,NaN,"9,897",USD,31/01/2022,2022-06-30,Wrong amount
4000,9394885513,2021,2,007210589,KST006,ERROR,"8,462",USD,31-08-2021,13/01/2023,Duplicate row
1000,6318298373,2022,1,008608997,KST006,4375,4827.53,eur,31/07/2022,2022-10-19,Invoice payment
4000,3439433828,2022,3,006181438,KST004,NaN,2580,USD,2021-09-10,2022-07-01,Wrong amount
5000,805878,2022,3,007243275,KST003,NaN,578.29,eur,2021-12-21,2021-12-25,Payment received
5000,1190431386,2023,1,004001899,KST007,2217.03,"9,305",USD,2021-03-22,2021-07-05,Payment received
4000,ABC2240,2021,2,009875524,KST006,4152.96,1080.66,eur,2022.06.05,09/04/2021,Invoice payment
1000,364687,2021,3,006916358,KST009,2488,4122.38,EURO,11-03-2022,24-01-2022,
3000,8260587348,2021,1,004418617,KST008,1243.84,2442.61,EURO,07/08/2021,06/03/2021,
4000,331678,2022,3,007312978,KST009,ERROR,1685.6,EURO,07-11-2021,07/12/2022,Vendor invoice
4000,202072,2022,3,009579516,KST001,NaN,4331.12,eur,2022.01.27,2023-05-30,Wrong amount
5000,719303,2022,1,006029259,KST007,3473.57,4302.94,USD,26/05/2022,02/02/2021,Wrong amount
5000,2080872901,2021,2,005048268,KST005,3079.84,"2,912",eur,04-04-2022,21/08/2021,Vendor invoice
1000,5272439338,2021,2,005452918,KST009,ERROR,4183.59,eur,2021-03-02,25/07/2021,Invoice payment
1000,238930,2023,2,006232748,KST004,ERROR,3273.99,EUR,26-09-2023,2022-03-04,Invoice payment
2000,ABC6023,2023,2,007736781,KST006,3515.26,"4,589",EURO,17-11-2021,2022-08-17,Wrong amount
6000,ABC7701,2022,2,008189108,,290,4394,USD,15/08/2022,14-01-2021,Vendor invoice
3000,301186,2023,2,004256139,KST006,2750.84,1541,EUR,28/11/2021,21-03-2023,Wrong amount
2000,806617,2022,1,008923086,KST006,ERROR,"5,770",EURO,12-10-2021,2023.06.17,Payment received
6000,270163,2023,3,004727229,KST005,4765,3068.2,EURO,2022.01.12,2023-04-19,Vendor invoice
5000,ABC4739,2021,2,006609110,KST004,ERROR,260,EUR,07/09/2023,17/09/2022,Invoice payment
6000,184101,2023,2,007893018,KST009,ERROR,3927.94,EUR,03/05/2023,2021-10-17,Wrong amount
4000,ABC2553,2021,1,009687338,KST002,NaN,"4,237",EUR,2023-05-07,2022-07-21,Duplicate row
3000,879467,2021,1,005283180,KST009,639,2635.1,EUR,2023.08.13,25/01/2022,Duplicate row
4000,ABC9715,2022,3,004234875,KST008,1094,3273.88,eur,2022-12-09,18-10-2021,Duplicate row
4000,3667391786,2021,1,009465313,KST006,3984,"6,527",eur,2022.06.23,2022.05.06,Invoice payment
4000,115458,2022,1,005111574,KST001,ERROR,4154,EURO,08-04-2022,2023-02-09,Invoice payment
3000,384370,2022,2,007014401,KST003,2407,1023.5,EURO,02/07/2023,11-02-2022,Invoice payment
3000,ABC2513,2021,1,004631555,KST005,3224.53,"5,273",EURO,2021.11.26,03-07-2021,Duplicate row
6000,158864,2021,3,004803035,KST003,ERROR,"5,758",EURO,2021-09-13,24-04-2023,Wrong amount
6000,1849165244,2023,3,007210529,,ERROR,1272.35,USD,2021.09.08,2021-06-09,
1000,982850,2023,3,006050349,KST006,NaN,3201.19,USD,02/07/2021,2022.07.04,Payment received
5000,6043845808,2023,2,008170460,KST001,2514,1815,EUR,2021-07-31,28-05-2023,Wrong amount
