transaction_id,date,product,region,channel,sales_rep,quantity,unit_price,revenue,cost,profit
TXN004163,2024-04-25,Product A,Latin America,Partner,Rep_3,12,247.63,2971.56,1549.12,1422.44
TXN003251,2024-04-25,Product D,Asia,Partner,Rep_9,4,471.0,1884.0,1075.65,808.35
TXN001138,2024-04-25,Product E,Middle East,Online,Rep_2,36,379.65,13667.4,7958.6,5708.8
TXN002035,2024-04-25,Product C,Middle East,Retail,Rep_9,46,282.92,13014.32,7949.09,5065.23
TXN000649,2024-04-25,Product D,North America,Retail,Rep_13,44,455.54,20043.76,8461.77,11581.99
TXN000756,2024-04-25,Product C,Middle East,Partner,Rep_3,46,199.81,9191.26,6241.0,2950.26
TXN003557,2024-04-25,Product E,Latin America,Direct Sales,Rep_10,40,473.83,18953.2,12699.45,6253.75
TXN000980,2024-04-25,Product B,Latin America,Online,Rep_6,5,251.22,1256.1,737.71,518.39
TXN001978,2024-04-25,Product D,North America,Online,Rep_5,42,97.39,4090.38,2510.67,1579.71
TXN003052,2024-04-25,Product C,North America,Direct Sales,Rep_6,34,66.03,2245.02,956.83,1288.19
TXN002136,2024-04-26,Product F,Europe,Online,Rep_15,3,432.57,1297.71,694.99,602.72
TXN001916,2024-04-26,Product C,Asia,Retail,Rep_15,5,439.03,2195.15,962.47,1232.68
TXN000269,2024-04-26,Product F,North America,Partner,Rep_7,5,307.74,1538.7,862.92,675.78
TXN000213,2024-04-26,Product C,Europe,Partner,Rep_7,38,250.85,9532.3,5900.82,3631.48
TXN000069,2024-04-26,Product D,Europe,Partner,Rep_9,4,89.05,356.2,205.27,150.93
TXN001802,2024-04-26,Product B,North America,Retail,Rep_12,39,224.15,8741.85,5066.05,3675.8
TXN004477,2024-04-27,Product D,Europe,Retail,Rep_2,5,105.84,529.2,301.41,227.79
TXN002090,2024-04-27,Product F,Middle East,Partner,Rep_12,40,144.76,5790.4,3289.84,2500.56
TXN003742,2024-04-27,Product A,Latin America,Partner,Rep_10,45,448.75,20193.75,12983.01,7210.74
TXN003910,2024-04-27,Product E,North America,Partner,Rep_13,8,307.42,2459.36,1231.82,1227.54
TXN001551,2024-04-27,Product C,Middle East,Online,Rep_14,17,360.31,6125.27,4180.72,1944.55
TXN001493,2024-04-27,Product A,Europe,Partner,Rep_11,40,56.96,2278.4,927.17,1351.23
TXN000884,2024-04-27,Product C,North America,Partner,Rep_13,34,189.28,6435.52,2670.44,3765.08
TXN004674,2024-04-27,Product F,Middle East,Partner,Rep_9,9,154.53,1390.77,820.95,569.82
TXN000956,2024-04-28,Product E,Asia,Direct Sales,Rep_6,15,392.7,5890.5,2811.54,3078.96
TXN004081,2024-04-28,Product D,Middle East,Retail,Rep_13,3,255.61,766.83,517.09,249.74
TXN001301,2024-04-28,Product F,North America,Partner,Rep_8,9,205.09,1845.81,1148.48,697.33
TXN000421,2024-04-29,Product B,Europe,Partner,Rep_6,20,86.32,1726.4,812.94,913.46
TXN001025,2024-04-29,Product D,Asia,Direct Sales,Rep_15,40,319.72,12788.8,7097.38,5691.42
TXN000133,2024-04-29,Product E,North America,Partner,Rep_1,15,201.35,3020.25,2024.03,996.22
TXN000834,2024-04-29,Product F,Middle East,Partner,Rep_7,19,176.78,3358.82,1417.94,1940.88
