date,source,sessions,page_views,unique_visitors,bounce_rate,avg_session_duration,conversions,conversion_rate
2024-04-25,Organic Search,2013,3364,1813,0.623,340,60,0.0298
2024-04-25,Paid Search,4333,15720,3983,0.407,156,82,0.0189
2024-04-25,Social Media,1132,2748,996,0.404,473,11,0.0097
2024-04-25,Direct,4853,9737,4473,0.415,261,172,0.0354
2024-04-25,Referral,4302,15698,3751,0.65,576,121,0.0281
2024-04-25,Email,4863,9535,4574,0.482,423,124,0.0255
2024-04-26,Organic Search,2687,4222,1907,0.332,201,90,0.0335
2024-04-26,Paid Search,229,572,183,0.609,267,3,0.0131
2024-04-26,Social Media,1081,4067,937,0.568,266,51,0.0472
2024-04-26,Direct,1509,5146,1400,0.531,163,44,0.0292
2024-04-26,Referral,4957,16961,4225,0.387,208,93,0.0188
2024-04-26,Email,1084,1686,775,0.669,90,11,0.0101
2024-04-27,Organic Search,4442,12141,4011,0.355,363,128,0.0288
2024-04-27,Paid Search,4511,16991,3446,0.545,415,196,0.0434
2024-04-27,Social Media,1326,2273,1120,0.438,591,20,0.0151
2024-04-27,Direct,1391,3060,1035,0.526,473,51,0.0367
2024-04-27,Referral,4744,15929,3444,0.534,267,67,0.0141
2024-04-27,Email,4655,10020,4304,0.551,179,151,0.0324
2024-04-28,Organic Search,3843,11936,3585,0.531,277,119,0.031
2024-04-28,Paid Search,3515,7082,2585,0.365,256,129,0.0367
2024-04-28,Social Media,709,1457,652,0.57,413,23,0.0324
2024-04-28,Direct,4430,12001,4077,0.697,226,150,0.0339
2024-04-28,Referral,375,1466,354,0.47,487,8,0.0213
2024-04-28,Email,1861,5563,1572,0.669,569,26,0.014
2024-04-29,Organic Search,4221,15736,3800,0.433,110,51,0.0121
2024-04-29,Paid Search,442,1090,403,0.684,521,12,0.0271
2024-04-29,Social Media,2011,5311,1498,0.563,362,53,0.0264
2024-04-29,Direct,3051,11230,2787,0.634,86,53,0.0174
2024-04-29,Referral,2916,10532,2767,0.683,186,85,0.0291
2024-04-29,Email,4366,16313,3165,0.547,446,181,0.0415
2024-04-30,Organic Search,1253,3095,1185,0.326,470,57,0.0455
2024-04-30,Paid Search,1543,5892,1158,0.506,119,36,0.0233
